"code_station","lat_deg_dec","long_deg_dec","code_lot_materiel","taxname_lot","date_identification_lot","code_ind_tri_morpho","taxname_ind","date_identification_ind","code_ind_biomol","code_sqc_ass","code_sqc_alignement","statut_sqc_ass","date_creation_sqc_ass","taxname_sqc","date_identification_sqc_ass"
"190K","43.61","39.93","ASELLUS_AQUATICUS|190K_201107","ASELLUS_AQUATICUS","2011-07-01","ASELLUS_AQUATICUS|190K_201107[1]AAK1","ASELLUS_AQUATICUS","2011-07-01","Aaquaticus|190K_201107_1","","","","","",""
"ALBARON","43.6185","4.45964","ASELLUS_AQUATICUS|ALBARON_201004","ASELLUS_AQUATICUS","2010-04-19","","","","","","","","","",""
"ASL4","42.48418","19.15389","PROASELLUS_SP|ASL4_201409","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|ASL4_201409[A1]Psp4A1","PROASELLUS_SP","2016-06-01","Psp|ASL4_201409_1ID","Aaquaticus|ASL4_201409_1IDex_YAE868|16SPcavR1_exPsp","Aaquaticus|ASL4_201409_1IDex_YAE868|16SPcavR1_exPsp","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"ASL4","42.48418","19.15389","PROASELLUS_SP|ASL4_201409","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|ASL4_201409[A1]Psp4A1","PROASELLUS_SP","2016-06-01","Psp|ASL4_201409_1ID","Aaquaticus|ASL4_201409_1IDex_YAE876|COILKR3_YAE885_COILKF1_exPsp","Aaquaticus|ASL4_201409_1IDex_YAE876|COILKR3_YAE885_COILKF1_exPsp","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"ASL4","42.48418","19.15389","PROASELLUS_SP|ASL4_201409","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|ASL4_201409[B1]Psp4A2","PROASELLUS_SP","2016-06-01","Psp|ASL4_201409_2","Aaquaticus|ASL4_201409_2ex_YAE862|16SarDr_exPsp","Aaquaticus|ASL4_201409_2ex_YAE862|16SarDr_exPsp","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"ASL4","42.48418","19.15389","PROASELLUS_SP|ASL4_201409","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|ASL4_201409[B2]Psp4A3","PROASELLUS_SP","2016-06-01","Psp|ASL4_201409_3","Aaquaticus|ASL4_201409_3ex_YAE869|16SPcavR1_exPsp","Aaquaticus|ASL4_201409_3ex_YAE869|16SPcavR1_exPsp","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"ASL4","42.48418","19.15389","PROASELLUS_SP|ASL4_201409","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|ASL4_201409[B2]Psp4A3","PROASELLUS_SP","2016-06-01","Psp|ASL4_201409_3","Aaquaticus|ASL4_201409_3ex_YAE886|COILKR2_exPsp","Aaquaticus|ASL4_201409_3ex_YAE886|COILKR2_exPsp","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"ASTRAKRV","35.240961","25.220885","ASELLUS_AQUATICUS|ASTRAKRV_201610","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|ASTRAKRV_201610[A1]AAA1","ASELLUS_AQUATICUS","2016-10-09","Aaquaticus|ASTRAKRV_201610_1ID","Aaquaticus|ASTRAKRV_201610_1ID_YAF417|16SStenaF1","Aaquaticus|ASTRAKRV_201610_1ID_YAF417|16SStenaF1","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"ASTRAKRV","35.240961","25.220885","ASELLUS_AQUATICUS|ASTRAKRV_201610","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|ASTRAKRV_201610[A1]AAA1","ASELLUS_AQUATICUS","2016-10-09","Aaquaticus|ASTRAKRV_201610_1ID","Aaquaticus|ASTRAKRV_201610_1ID_YAF573|COILKF1_YAF656_jgHCO2198","Aaquaticus|ASTRAKRV_201610_1ID_YAF573|COILKF1_YAF656_jgHCO2198","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15"
"AVANNLAV","47.20049","5.96536","ASELLUS_AQUATICUS|AVANNLAV_201202","ASELLUS_AQUATICUS","2012-04-01","","","","","","","","","",""
"AVANNRES","47.20092","5.96685","ASELLUS_AQUATICUS|AVANNRES_201202","ASELLUS_AQUATICUS","2012-04-01","","","","","","","","","",""
"BAKOVAC","44.3491","15.74064","ASELLUS_AQUATICUS|BAKOVAC_201107","ASELLUS_AQUATICUS","2011-08-01","","","","","","","","","",""
