"code_station","lat_deg_dec","long_deg_dec","code_lot_materiel","taxname_lot","date_identification_lot","code_ind_tri_morpho","taxname_ind","date_identification_ind","code_ind_biomol","code_sqc_ass","taxname_sqc","date_identification_sqc_ass","gene","nb_chromato_sqc_ass"
"ASL4","42.48418","19.15389","PROASELLUS_SP|ASL4_201409","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|ASL4_201409[A1]Psp4A1","PROASELLUS_SP","2016-06-01","Psp|ASL4_201409_1ID","Aaquaticus|ASL4_201409_1IDex_YAE868|16SPcavR1_exPsp","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"ASL4","42.48418","19.15389","PROASELLUS_SP|ASL4_201409","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|ASL4_201409[A1]Psp4A1","PROASELLUS_SP","2016-06-01","Psp|ASL4_201409_1ID","Aaquaticus|ASL4_201409_1IDex_YAE876|COILKR3_YAE885_COILKF1_exPsp","ASELLUS_AQUATICUS","2017-09-15","COI","2"
"ASL4","42.48418","19.15389","PROASELLUS_SP|ASL4_201409","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|ASL4_201409[B1]Psp4A2","PROASELLUS_SP","2016-06-01","Psp|ASL4_201409_2","Aaquaticus|ASL4_201409_2ex_YAE862|16SarDr_exPsp","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"ASL4","42.48418","19.15389","PROASELLUS_SP|ASL4_201409","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|ASL4_201409[B2]Psp4A3","PROASELLUS_SP","2016-06-01","Psp|ASL4_201409_3","Aaquaticus|ASL4_201409_3ex_YAE869|16SPcavR1_exPsp","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"ASL4","42.48418","19.15389","PROASELLUS_SP|ASL4_201409","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|ASL4_201409[B2]Psp4A3","PROASELLUS_SP","2016-06-01","Psp|ASL4_201409_3","Aaquaticus|ASL4_201409_3ex_YAE886|COILKR2_exPsp","ASELLUS_AQUATICUS","2017-09-15","COI","1"
"ASTRAKRV","35.240961","25.220885","ASELLUS_AQUATICUS|ASTRAKRV_201610","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|ASTRAKRV_201610[A1]AAA1","ASELLUS_AQUATICUS","2016-10-09","Aaquaticus|ASTRAKRV_201610_1ID","Aaquaticus|ASTRAKRV_201610_1ID_YAF417|16SStenaF1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"ASTRAKRV","35.240961","25.220885","ASELLUS_AQUATICUS|ASTRAKRV_201610","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|ASTRAKRV_201610[A1]AAA1","ASELLUS_AQUATICUS","2016-10-09","Aaquaticus|ASTRAKRV_201610_1ID","Aaquaticus|ASTRAKRV_201610_1ID_YAF573|COILKF1_YAF656_jgHCO2198","ASELLUS_AQUATICUS","2017-09-15","COI","2"
"CALCINAT","45.450373","10.384854","ASELLUS_AQUATICUS|CALCINAT_201608","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|CALCINAT_201608[A1]AACa1","ASELLUS_AQUATICUS","2016-12-01","Aaquaticus|CALCINAT_201608_1ID","Aaquaticus|CALCINAT_201608_1ID_YAF409|16SStenaR1","ASELLUS_AQUATICUS","2017-09-15","16S","1"
"CALCINAT","45.450373","10.384854","ASELLUS_AQUATICUS|CALCINAT_201608","ASELLUS_AQUATICUS","2016-12-01","ASELLUS_AQUATICUS|CALCINAT_201608[A1]AACa1","ASELLUS_AQUATICUS","2016-12-01","Aaquaticus|CALCINAT_201608_1ID","Aaquaticus|CALCINAT_201608_1ID_YAF575|COILKF1_YAF703_COILKR3b_dil_YAF717_COILKF1_dil","ASELLUS_AQUATICUS","2017-09-15","COI","3"
"CEZEBAGN","44.16414","4.63362","PROASELLUS_SP|CEZEBAGN_201605","PROASELLUS_SP","2016-06-01","PROASELLUS_SP|CEZEBAGN_201605[J1]PspZ1","PROASELLUS_SP","2016-06-01","Psp|CEZEBAGN_201605_1","Aaquaticus|CEZEBAGN_201605_1ex_YAE956|16SStenaF1_exPsp","ASELLUS_AQUATICUS","2017-09-15","16S","1"
