"code_station","lat_deg_dec","long_deg_dec","code_sqc_ass_ext","code_sqc_ass_ext_alignement","statut_sqc_ass","date_creation_sqc_ass_ext","taxname_sqc","date_identification_sqc_ass","gene"
"ALBORG","57.047","9.919","Aaquaticus|ALBORG_000000_0_DQ144746|NCBI","Aaquaticus|ALBORG_000000_0_DQ144746|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","28S"
"ALBORG","57.047","9.919","Aaquaticus|ALBORG_000000_0_DQ144816|NCBI","Aaquaticus|ALBORG_000000_0_DQ144816|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ALBORG","57.047","9.919","Aaquaticus|ALBORG_000000_0_DQ144817|NCBI","Aaquaticus|ALBORG_000000_0_DQ144817|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ALBORG","57.047","9.919","Aaquaticus|ALBORG_000000_0_DQ144818|NCBI","Aaquaticus|ALBORG_000000_0_DQ144818|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ANASTRMA","43.823225","28.567144","Aaquaticus|ANASTRMA_000000_0_KJ676728|NCBI","Aaquaticus|ANASTRMA_000000_0_KJ676728|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","28S"
"ANASTRMA","43.823225","28.567144","Aaquaticus|ANASTRMA_000000_0_KJ676756|NCBI","Aaquaticus|ANASTRMA_000000_0_KJ676756|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ARANCAST","46.0375","20.58389","Aaquaticus|ARANCAST_000000_0_KR921833|NCBI","Aaquaticus|ARANCAST_000000_0_KR921833|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ARANCAST","46.0375","20.58389","Aaquaticus|ARANCAST_000000_0_KR921834|NCBI","Aaquaticus|ARANCAST_000000_0_KR921834|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ARANCAST","46.0375","20.58389","Aaquaticus|ARANCAST_000000_0_KR921835|NCBI","Aaquaticus|ARANCAST_000000_0_KR921835|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"ARSA","43.839194","28.465056","Aaquaticus|ARSA_000000_0_KJ676745|NCBI","Aaquaticus|ARSA_000000_0_KJ676745|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"BABINE","45.056","18.64","Aaquaticus|BABINE_000000_0_DQ144859|NCBI","Aaquaticus|BABINE_000000_0_DQ144859|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"BABINE","45.056","18.64","Aaquaticus|BABINE_000000_0_DQ144860|NCBI","Aaquaticus|BABINE_000000_0_DQ144860|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"BABINE","45.056","18.64","Aaquaticus|BABINE_000000_0_DQ144861|NCBI","Aaquaticus|BABINE_000000_0_DQ144861|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"BABINE","45.056","18.64","Aaquaticus|BABINE_000000_0_DQ144862|NCBI","Aaquaticus|BABINE_000000_0_DQ144862|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
"BAIAMARE","47.969567","23.69605","Aaquaticus|BAIAMARE_000000_0_DQ144746|NCBI","Aaquaticus|BAIAMARE_000000_0_DQ144746|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","28S"
"BAIAMARE","47.969567","23.69605","Aaquaticus|BAIAMARE_000000_0_KJ676741|NCBI","Aaquaticus|BAIAMARE_000000_0_KJ676741|NCBI","VALIDEE","2017-09-15","ASELLUS_AQUATICUS","2017-09-15","COI"
