"liste_gene_cible_par_individu","code_station","lat_deg_dec","long_deg_dec","code_lot_materiel","taxname_lot","code_ind_tri_morpho","code_ind_biomol","taxname_sqc_ass"
"COI;28S;16S;COI;AM4","102K","43.75","39.81","PROASELLUS_SP|102K_201107","PROASELLUS_SP","PROASELLUS_SP|102K_201107[1]Psp102K1","Pnsp12bK|102K_201107_1ID","PROASELLUS_N_SP_12BK"
"28S;COI;COI;COI;AM4;16S;16S;28S;28S;28S","140K","43.61","39.93","PROASELLUS_SP|140K_201107","PROASELLUS_SP","PROASELLUS_SP|140K_201107[B]Psp140K1","Psp140K|140K_201107_1","PROASELLUS_SP_140K"
"16S;28S;AM4;COI","ABOIM","41.91711","-8.44715","BRAGASELLUS_FRONTELLUM|ABOIM_201010","BRAGASELLUS_FRONTELLUM","BRAGASELLUS_FRONTELLUM|ABOIM_201010[B]BFA2","Bfrontellum|ABOIM_201010_2","BRAGASELLUS_FRONTELLUM"
"16S;AM4;AM4;COI;COI;28S;28S;16S","ABOIM","41.91711","-8.44715","SYNASELLUS_N_SP_ABOIM2|ABOIM_201010","SYNASELLUS_N_SP_ABOIM2","SYNASELLUS_N_SP_ABOIM2|ABOIM_201010[A]SyspA3","SYnspAboim2|ABOIM_201010_3","SYNASELLUS_N_SP_ABOIM2"
"28S;COI;16S;AM4;OPS2","ABOIM","41.91711","-8.44715","BRAGASELLUS_FRONTELLUM|ABOIM_201010","BRAGASELLUS_FRONTELLUM","BRAGASELLUS_FRONTELLUM|ABOIM_201010[1]BFA1","Bfrontellum|ABOIM_201010_1ID","BRAGASELLUS_FRONTELLUM"
"AM4;28S;16S;COI;AM4","ABOIM","41.91711","-8.44715","SYNASELLUS_N_SP_ABOIM1|ABOIM_201010","SYNASELLUS_N_SP_ABOIM1","SYNASELLUS_N_SP_ABOIM1|ABOIM_201010[1]SyspA1","SYnspAboim1|ABOIM_201010_1ID","SYNASELLUS_N_SP_ABOIM1"
"28S;AM4;AM4;16S;COI","ACSASSAR","40.717907","8.605229","STENASELLUS_SP|ACSASSAR_200905","STENASELLUS_SP","STENASELLUS_SP|ACSASSAR_200905[B1]SspA1","Ssp|ACSASSAR_200905_1","STENASELLUS_N_SP_ACSASSAR"
"16S;COI;28S;AM4;28S;16S;AM4","ALBENTOS","40.12242","-0.76379","BRAGASELLUS_LAGARI|ALBENTOS_200910","BRAGASELLUS_LAGARI","BRAGASELLUS_LAGARI|ALBENTOS_200910[3]BLaA1","Blagari|ALBENTOS_200910_1ID","BRAGASELLUS_LAGARI"
"AM4;AM4;16S;16S;COI;28S","ALBENTOS","40.12242","-0.76379","STENASELLUS_VIREI_ROUCHI|ALBENTOS_200910","STENASELLUS_VIREI_ROUCHI","STENASELLUS_VIREI_ROUCHI|ALBENTOS_200910[1v]SVRA1","Svireirouchi|ALBENTOS_200910_1ID","STENASELLUS_VIREI_ROUCHI"
"OPS1;COI;AM4;28S;16S;OPS2","ALBENTOS","40.12242","-0.76379","PROASELLUS_MARGALEFI|ALBENTOS_200910","PROASELLUS_MARGALEFI","PROASELLUS_MARGALEFI|ALBENTOS_200910[Bv]PMaA2","Pmargalefi|ALBENTOS_200910_2","PROASELLUS_MARGALEFI"
