"code_chromato","num_yas","commentaire_chromato","gene","qualite_chromato","type_individu","code_ind_biomol","code_ind_tri_morpho","code_tube","num_ind_biomol","commentaire_ind","taxname","date_identification","precision_date","critere_identification","commentaire_esp_id"
"YAE196|AM4F2Aaq","YAE196","50b tres sales puis ok. 1B polym","AM4","OK","A","Aaquaticus|PLANINA_201504_6ID","ASELLUS_AQUATICUS|PLANINA_201504[A1]AAPl6","A1","6ID","","ASELLUS_AQUATICUS","2015-07-03","J","M",""
"YAE517|AM4R6Aaq","YAE517","tb","AM4","OK","A","Proasellus_etrange|SPUZANex_201107_2ID","ASELLUS_AQUATICUS|SPUZANEX_201107[2]PspSp2","2","2ID","","ASELLUS_AQUATICUS","2011-07-01","M","M",""
"YAE789|AM4F4Aaq","YAE789","tb. Idem Aaquaticus","AM4","OK","A","Akosswigi|TREBICGR_200001_2","ASELLUS_KOSSWIGI|TREBICGR_200001[A2]AKT2","A2","2","","ASELLUS_KOSSWIGI","2016-03-01","M","M",""
"YCM884|AM4R2","YCM884"," 2b polym","AM4","OK","A","BAIsp|BAIKAL5_201409_1ID","BAICALASELLUS_BAICALENSIS|BAIKAL5_201409[A1]BaspB1","A1","1ID","","BAICALASELLUS_BAICALENSIS","2014-11-01","M","M",""
"YCM978|AM4F2","YCM978","b-, 2b polym.idem YCM884","AM4","OK","A","BAIsp|BAIKAL5_201409_2ID","BAICALASELLUS_BAICALENSIS|BAIKAL5_201409[A7]BaspB2","A7","2ID","","BAICALASELLUS_BAICALENSIS","2014-11-01","M","M",""
"YCM883|AM4R2","YCM883"," 2b polym","AM4","OK","A","BAIsp|BAIKAL5B_201409_6ID","BAICALASELLUS_KOROTNEVI|BAIKAL5B_201409[A13]BaspB6","A13","6ID","","BAICALASELLUS_KOROTNEVI","2014-11-01","M","M",""
"YAD018|AM4F2","YAD018","4b incertaines","AM4","OK","A","BAIkorotnewi|BAIKAL5B_201409_2ID","BAICALASELLUS_KOROTNEVI|BAIKAL5B_201409[A14]BaKB2","A14","2ID","","BAICALASELLUS_KOROTNEVI","2014-11-01","M","M",""
"YAD442|AM4R2","YAD442","tb","AM4","OK","A","BAIkorotnewi|BAIKAL5B_201409_2ID","BAICALASELLUS_KOROTNEVI|BAIKAL5B_201409[A14]BaKB2","A14","2ID","","BAICALASELLUS_KOROTNEVI","2014-11-01","M","M",""
"YCM291|AM4F4","YCM291","tb, 1b polym","AM4","OK","A","Bcomasi|FRIES_200906_1ID","BRAGASELLUS_COMASI|FRIES_200906[1.]BCF1","1.","1ID","","BRAGASELLUS_COMASI","2009-07-28","J","M",""
"YAC971|AM4F2","YAC971","7b polym","AM4","OK","A","Bcomasi|LAFOZ_200906_2ID","BRAGASELLUS_COMASI|LAFOZ_200906[2.]BCT2","2.","2ID","","BRAGASELLUS_COMASI","2009-07-28","J","M",""
"YCM318|AM4R5","YCM318","tb, 1b polym","AM4","OK","A","Bcomasi|LAFOZ_200906_2ID","BRAGASELLUS_COMASI|LAFOZ_200906[2.]BCT2","2.","2ID","","BRAGASELLUS_COMASI","2009-07-28","J","M",""
"YCM198|AM4R1","YCM198","tb","AM4","OK","A","Bcomasi|PENDONES_200906_1ID","BRAGASELLUS_COMASI|PENDONES_200906[1.]BCN1","1.","1ID","","BRAGASELLUS_COMASI","2009-07-27","J","M",""
"YCM312|AM4F4","YCM312","tb, 2b polym","AM4","OK","A","Bcomasi|PENDONES_200906_1ID","BRAGASELLUS_COMASI|PENDONES_200906[1.]BCN1","1.","1ID","","BRAGASELLUS_COMASI","2009-07-27","J","M",""
"YCM321|AM4R5","YCM321","tb, 1b polym","AM4","OK","A","Bescolai|YUSOREIN_200906_1ID","BRAGASELLUS_ESCOLAI|YUSOREIN_200906[1.]BEY1","1.","1ID","","BRAGASELLUS_ESCOLAI","2009-07-24","J","M",""
"YCM300|AM4R5","YCM300","tb","AM4","OK","A","Bescolai|YUSOREIN_200906_4ID","BRAGASELLUS_ESCOLAI|YUSOREIN_200906[2.]BEY4","2.","4ID","","BRAGASELLUS_ESCOLAI","2009-07-24","J","M",""
"YCM301|AM4R5","YCM301","b+","AM4","OK","A","Bfrontellum|ABOIM_201010_1ID","BRAGASELLUS_FRONTELLUM|ABOIM_201010[1]BFA1","1","1ID","","BRAGASELLUS_FRONTELLUM","2010-12-01","M","M",""
"YCM276|AM4F4","YCM276","b, 4b polym","AM4","OK","A","Blagari|ALBENTOS_200910_1ID","BRAGASELLUS_LAGARI|ALBENTOS_200910[3]BLaA1","3","1ID","","BRAGASELLUS_LAGARI","2010-05-18","J","M",""
"YCM340|AM4R6","YCM340","tb","AM4","OK","A","Blagari|ALBENTOS_200910_1ID","BRAGASELLUS_LAGARI|ALBENTOS_200910[3]BLaA1","3","1ID","","BRAGASELLUS_LAGARI","2010-05-18","J","M",""
"YCM201|AM4F2","YCM201","75b dbles puis tb. 6B polym","AM4","OK","A","Blagari|CASCAN2_200910_1ID","BRAGASELLUS_LAGARI|CASCAN2_200910[1]BLaR1","1","1ID","","BRAGASELLUS_LAGARI","2010-05-14","J","M",""
"YCM193|AM4R1","YCM193","tb","AM4","OK","A","Blagari|MEREMIL_200910_1ID","BRAGASELLUS_LAGARI|MEREMIL_200910[1]BLaF1","1","1ID","","BRAGASELLUS_LAGARI","2010-05-14","J","M",""
